"cov","mu","sd","PopulationName"
"pndvi",0.43058773253125,0.024242889115706,"Willow_DesatoyaMtns"
"pndvi",0.32863902603125,0.0513309052379787,"Willow_OR_dwn"
"pndvi",0.41558189640625,0.0427278038551919,"Willow_OR_up"
"pndvi",0.4680954704375,0.065844909670797,"Willow_QRD"
"pndvi",0.458121866875,0.051276849070865,"Willow_QRD_SF"
"pndvi",0.4595297344375,0.0346786022550122,"WilsonCanyon"
"pndvi",0.49487583159375,0.0614816798768172,"Winters"
"pndvi",0.53638356503125,0.049366530512442,"WMR&CmpDraw&Gaws"
"ms",10.6024943197719,7.50912416425027,"Abel"
"ms",23.3741196234187,16.2935362616424,"Abel&SHReconnect"
"ms",66.0179152344844,49.3690864552485,"Ackler"
"ms",24.0723210350281,21.4067013108691,"Alles"
"ms",61.423596625175,54.7784250936715,"Alles&DeeringReconnect"
"ms",325.347009704081,189.117138907861,"Andorno"
"ms",29.2757863651625,19.6144761701255,"Bartlett"
"ms",22.0729507685312,15.5828841609767,"Battle_NF"
"ms",31.1287675818969,21.8889756641954,"Big&Big_NF"
"ms",22.3608352333125,16.7321569060495,"Big&CorralCyn"
"ms",17.0638518879625,10.3504938621923,"Birch"
"ms",26.3447720862969,19.9035108211679,"Boone"
"ms",17.9586490006813,11.1214725263366,"Bottle"
"ms",78.8708644604125,70.3324544191816,"Boulder_1st&2nd_dwn&WF"
"ms",23.3644783637063,20.7401373872327,"Boulder_2nd_up"
"ms",35.6503604683531,31.5929550520006,"Boulder_4th"
"ms",81.4260648110156,71.6535227746455,"Boulder_EF&Boulder_3rd"
"ms",93.1119938207156,81.6702137732424,"BoulderEFWFReconnect"
"ms",115.419832567463,204.696712415076,"BoxCanyon_aka_Stoddard"
"ms",1147.41328817181,743.569946111289,"Brown"
"ms",48.36298584945,30.8819414221972,"BuffaloCanyon"
"ms",64.6475282357531,39.9216304232448,"CA_Bodie"
"ms",9.82333874335625,6.08829869731858,"CA_ByDay"
"ms",242.129952772072,426.277524945078,"CA_CharityValley"
"ms",45.6769459003219,79.2640860393023,"CA_ColdStream"
"ms",118.540362210756,157.83328849337,"CA_Deep"
"ms",28.5754235930563,55.4075562161227,"CA_Deer"
"ms",210.051319122219,321.17565569068,"CA_Desert"
"ms",31.9438233568094,32.2809284582371,"CA_Dog"
"ms",179.487667016544,258.394674106725,"CA_Dunderberg&Dog"
